t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb,hard,A,0.8,0.0,0.00095367431640625,1.0,1,0,1.0,1.0
1,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,1.0,1.0
2,linucb,simple,B,0.6,0.0,0.0011920928955078125,0.1,1,0,1.0,1.0
3,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,1.0,1.0
4,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,1.0,1.0
5,linucb,hard,B,0.6,0.0,0.0,0.1,0,0,0.8333333333333334,0.0
6,linucb,simple,A,0.8,0.0,0.0011920928955078125,1.0,1,0,0.8571428571428571,1.0
7,linucb,simple,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.875,1.0
8,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.8888888888888888,1.0
9,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9,1.0
10,linucb,simple,C,0.6,0.0,0.0,0.3,1,0,0.9090909090909091,1.0
11,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9166666666666666,1.0
12,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9230769230769231,1.0
13,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9285714285714286,1.0
14,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9333333333333333,1.0
15,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9375,1.0
16,linucb,hard,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.9411764705882353,1.0
17,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9444444444444444,1.0
18,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9473684210526315,1.0
19,linucb,hard,A,0.8,0.0,0.0007152557373046875,1.0,1,0,0.95,1.0
20,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9523809523809523,1.0
21,linucb,simple,C,0.6,0.0,0.0,0.3,1,0,0.9545454545454546,1.0
22,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9565217391304348,1.0
23,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9583333333333334,1.0
24,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
25,linucb,simple,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.9615384615384616,1.0
26,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9629629629629629,1.0
27,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9642857142857143,1.0
28,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9655172413793104,1.0
29,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9666666666666667,1.0
30,linucb,simple,C,0.6,0.0,0.00095367431640625,0.3,1,0,0.967741935483871,1.0
31,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96875,1.0
32,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9696969696969697,1.0
33,linucb,simple,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.9705882352941176,1.0
34,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9714285714285714,1.0
35,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9722222222222222,1.0
36,linucb,hard,B,0.6,0.0,0.0,0.1,0,0,0.9459459459459459,0.0
37,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,0.9473684210526315,1.0
38,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9487179487179487,1.0
39,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.95,1.0
40,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9512195121951219,1.0
41,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9523809523809523,1.0
42,linucb,hard,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.9534883720930233,1.0
43,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9545454545454546,1.0
44,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,0.9555555555555556,1.0
45,linucb,simple,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.9565217391304348,1.0
46,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9574468085106383,1.0
47,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.9583333333333334,1.0
48,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.9591836734693877,1.0
49,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
50,linucb,hard,C,0.6,0.0,0.0,0.3,1,0,0.96,1.0
51,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
52,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
53,linucb,simple,B,0.6,0.0,0.00095367431640625,0.1,0,0,0.94,0.0
54,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,0.94,1.0
55,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
56,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
57,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
58,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,0.96,1.0
59,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
60,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
61,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
62,linucb,simple,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.96,1.0
63,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
64,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,0.96,1.0
65,linucb,hard,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.96,1.0
66,linucb,simple,A,0.8,0.0,0.0007152557373046875,1.0,1,0,0.96,1.0
67,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
68,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
69,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
70,linucb,simple,C,0.6,0.0,0.0,0.3,1,0,0.96,1.0
71,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
72,linucb,simple,B,0.6,0.0,0.0,0.1,1,0,0.96,1.0
73,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
74,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
75,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
76,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
77,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
78,linucb,simple,B,0.6,0.0,0.0011920928955078125,0.1,1,0,0.96,1.0
79,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
80,linucb,simple,A,0.8,0.0,0.0011920928955078125,1.0,1,0,0.96,1.0
81,linucb,hard,C,0.6,0.0,0.0,0.3,1,0,0.96,1.0
82,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
83,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.96,1.0
84,linucb,hard,A,0.8,0.0,0.00095367431640625,1.0,1,0,0.96,1.0
85,linucb,hard,B,0.6,0.0,0.0011920928955078125,0.1,0,0,0.94,0.0
86,linucb,hard,B,0.6,0.0,0.0,0.1,0,0,0.94,0.0
87,linucb,hard,B,0.6,0.0,0.0011920928955078125,0.1,0,0,0.92,0.0
88,linucb,hard,B,0.6,0.0,0.0,0.1,1,0,0.92,1.0
89,linucb,hard,B,0.6,0.0,0.0,0.1,1,0,0.92,1.0
90,linucb,simple,A,0.8,0.0,0.0,1.0,1,0,0.92,1.0
91,linucb,hard,A,0.8,0.0,0.0,1.0,1,0,0.92,1.0
